,Values
NAV,"17,102.98"
Open Price,"17,550.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"10,286.0 / 13,612.7"
Day Range,"17,295.00 – 17,575.00"
Year Range,"12,945.00 – 17,725.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.120%
Total Assets,4.3 Bil
