,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,4.81,—
Non-U.S.Stock,-205.24,205.24,0.00,5.39,—
Bonds,7.46,0.00,7.46,12.48,—
Other,0.01,0.00,0.01,19.44,—
Cash,297.77,3.19,300.96,78.62,—
Not Classified,0.00,0.00,0.00,0.77,—
