,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,4.81,—
Non-U.S.Stock,-99.96,99.96,0.00,5.39,—
Bonds,4.87,0.00,4.87,12.48,—
Other,0.00,0.00,0.00,19.44,—
Cash,195.09,0.78,195.87,78.62,—
Not Classified,0.00,0.00,0.00,0.77,—
